연번,호선,역명,주소,상세위치,조성연도,면적(제곱미터),시설구분,운임 비운임,고객안전실 경유,비품(손소독제),비품(기저귀교환대),비품(기저귀수거함),비품(수유용칸막이),비품(1인용 소파),비품(2인용 소파),비품(탁자)
1,1호선,종로3가역(1호선),서울특별시 종로구 종로 지하 129 (종로3가),B1 고객안전실 인접,2007,11.7,가족수유실,비운임,단독,O,1,O,O,X,O,O
2,1호선,동대문역(1호선),서울특별시 종로구 종로 지하 302 (창신동),B1 고객안전실  인접,2007,9.9,모유수유실,비운임,단독,O,1,O,O,O,O,O
3,2호선,시청역(2호선),서울특별시 중구 세종대로 지하 101 (정동),B2 고객안전실 인접,2007,24.5,가족수유실,운임,단독,O,1,O,O,X,O,O
4,2호선,성수역,서울특별시 성동구 아차산로 100 (성수동2가),1번출구방면 게이트 안쪽,2007,19.8,가족수유실,운임,단독,O,1,O,O,X,O,O
5,2호선,강변역,서울특별시 광진구 강변역로 53 (구의동),2번출구방면 게이트 안쪽,2007,14,가족수유실,운임,단독,O,1,O,O,O,O,O
6,2호선,잠실역(2호선),서울특별시 송파구 오금로 20 (신천동),B1 8호선 연결통로방면 게이트 옆,2007,14,가족수유실,비운임,단독,O,1,O,X,X,O,O
7,2호선,대림역(2호선),서울특별시 구로구 도림천로 351 (구로동),2F 고객안전실  인접,2007,13,가족수유실,운임,단독,O,1,O,O,X,O,O
8,2호선,영등포구청역(2호선),서울특별시 영등포구 당산로 지하 121 (당산동3가),B1 고객안전실  인접,2007,11,가족수유실,운임,단독,O,1,O,O,X,O,O
9,2호선,신촌역,서울특별시 마포구 신촌로 지하 90 (노고산동),B1 고객안전실  인접,2007,9.7,가족수유실,비운임,단독,O,1,O,O,O,O,O
10,2호선,강남역,서울특별시 강남구 강남대로 지하 396 (역삼동),B1 고객안전실  앞,2007,8,모유수유실,운임,단독,O,1,O,O,X,O,O
11,2호선,신림역,서울특별시 관악구 남부순환로 지하 1614 (신림동),B1 고객안전실 방면 게이트 옆,2007,7.6,모유수유실,운임,단독,O,1,O,O,X,O,O
12,2호선,삼성역,서울특별시 강남구 테헤란로 지하 538 (삼성동),B1 아이센터 옆,2007,7.5,모유수유실,비운임,단독,O,1,O,X,O,X,O
13,2호선,신설동역(2호선),서울특별시 동대문구 왕산로 지하 1 (신설동),B1 고객안전실  내부,2009,7.1,모유수유실,운임,고객안전실경유,O,1,O,X,O,X,O
14,3호선,도곡역,서울특별시 강남구 남부순환로 지하 2814 (도곡동),B2 고객안전실  앞,2007,26.2,가족수유실,운임,단독,O,1,O,O,O,O,O
15,3호선,양재역,서울특별시 서초구 남부순환로 지하 2585 (서초동),"B1 ③,④방면 출구 옆",2007,25,가족수유실,비운임,단독,O,2,O,O,O,O,O
16,3호선,고속터미널역(3호선),서울특별시 서초구 신반포로 지하 188 (반포동),B2 9호선 환승게이트 옆,2007,19.8,가족수유실,운임,단독,O,1,O,X,O,O,O
17,3호선,옥수역,서울특별시 성동구 동호로 21 (옥수동),B3 고객안전실방면 게이트 옆,2007,18,모유수유실,운임,단독,O,1,O,O,X,O,O
18,3호선,독립문역,서울특별시 서대문구 통일로 지하 247 (현저동),B2 고객안전실  내부,2007,10,가족수유실,비운임,고객안전실경유,O,1,O,O,X,O,O
19,3호선,구파발역,서울특별시 은평구 진관2로 지하 15-25 (진관동),B1 고객안전실  인접,2007,9.8,가족수유실,비운임,단독,O,1,O,X,X,O,O
20,4호선,노원역(4호선),서울특별시 노원구 상계로 69-1 (상계동),2F 고객안전실  앞,2009,48,가족수유실,비운임,단독,O,1,O,O,X,O,O
21,4호선,동대문역사문화공원역(4호선),서울특별시 중구 장충단로 지하 230 (광희동2가),B1 고객안전실  내부,2009,28,가족수유실,비운임,고객안전실경유,O,1,O,O,O,O,O
22,4호선,길음역,서울특별시 성북구 동소문로 지하 248 (길음동),B1 고객안전실  인접,2014,17,가족수유실,비운임,단독,O,1,O,O,X,O,O
23,4호선,미아사거리역,서울특별시 강북구 도봉로 지하 50 (미아동),B1 고객안전실 내부,2009,13,가족수유실,비운임,고객안전실경유,O,1,O,X,X,O,O
24,4호선,이촌역,서울특별시 용산구 서빙고로 지하 83 (용산동5가),2F 고객안전실  인접,2007,10,가족수유실,운임,단독,O,1,O,X,X,O,O
25,4호선,서울역(4호선),서울특별시 중구 세종대로 지하 2 (남대문로 5가),B1 고객안전실  인접,2009,9,가족수유실,비운임,단독,O,1,O,X,X,O,O
26,4호선,사당역(4호선),서울특별시 동작구 동작대로 지하3(사당동),B2 고객안전실  내부,2009,7.02,가족수유실,운임,고객안전실경유,O,1,O,O,O,O,X
27,5호선,청구역(5호선),서울특별시 중구 청구로 지하77(신당동),B1 고객안전실 내부,2010,25.54,가족수유실,비운임,고객안전실경유,O,1,O,O,X,O,O
28,5호선,하남시청역,경기도 하남시 하남대로 지하820(덕풍동),B1 고객안전실 인접,2021,24.88,가족수유실,비운임,단독,O,1,O,O,O,X,O
29,5호선,하남검단산역,경기도 하남시 대청로 지하100(창우동),B1 게이트 옆,2021,24.88,가족수유실,비운임,단독,O,1,O,X,O,X,O
30,5호선,강일역,서울특별시 강동구 고덕로 지하 456(강일동),B2 (나)고객안전실 인접,2021,21.95,가족수유실,비운임,단독,O,1,O,X,O,X,O
31,5호선,미사역,경기도 하남시 미사강변동로 지하90(망월동),B1 고객안전실 앞,2020,18.64,가족수유실,비운임,단독,O,1,O,X,O,X,O
32,5호선,강동역,서울특별시 강동구 천호대로 지하1097 (천호동),B3 고객안전실 내부,2009,18,가족수유실,비운임,고객안전실경유,O,2,O,O,X,O,O
