연번,호선,역  명,관리번호(호기),상하행구분,(근접)출입구번호,시작층(지상_지하),시작층(운행역층),시작층(상세위치),종료층(지상_지하),종료층(운행역층),종료층(상세위치),승강기형폭,승강기 일련번호,데이터 기준일자
1,1호선,서울역(1),1,상행,내부,지하,2,연결통로(4호선),지하,1,연결통로(4호선),800,1800-448,2025-03-10
2,1호선,서울역(1),2,하행,내부,지하,1,남영 방면2-3,지하,2,남영 방면2-3,1200,1806-600,2025-03-10
3,1호선,서울역(1),3,상행,내부,지하,2,시청 방면9-3,지하,1,시청 방면9-3,1200,1806-599,2025-03-10
4,1호선,서울역(1),4,상행,4번출구,지하,1,4번 출구 측,지상,1,4번 출구 측,1200,1810-816,2025-03-10
5,1호선,서울역(1),5,하행,4번출구,지상,1,4번 출구 측,지하,1,4번 출구 측,1200,1810-817,2025-03-10
6,1호선,시청(1),1,하행,5번출구,지상,1,5번 출구 측,지하,1,5번 출구 측,1200,1808-119,2025-03-10
7,1호선,시청(1),2,상행,5번출구,지하,1,5번 출구 측,지상,1,5번 출구 측,1200,1808-120,2025-03-10
8,1호선,시청(1),3,상행,1번출구,지하,1,1번 출구 측,지상,1,1번 출구 측,1200,1809-239,2025-03-10
9,1호선,종각,1,하행,1번출구,지상,1,1번 출구 측,지하,1,1번 출구 측,1200,1810-730,2025-03-10
10,1호선,종각,2,상행,1번출구,지하,1,1번 출구 측,지상,1,1번 출구 측,1200,1810-729,2025-03-10
11,1호선,종로3가(1),1,하행,1번출구,지상,1,1번 출구 측,지하,1,1번 출구 측,1200,1806-432,2025-03-10
12,1호선,종로3가(1),2,상행,1번출구,지하,1,1번 출구 측,지상,1,1번 출구 측,1200,1806-431,2025-03-10
13,1호선,종로3가(1),3,하행,14번출구,지상,1,14번 출구 측,지하,1,14번 출구 측,1200,1806-598,2025-03-10
14,1호선,종로3가(1),4,상행,14번출구,지하,1,14번 출구 측,지상,1,14번 출구 측,1200,1806-597,2025-03-10
15,1호선,동대문(1),1,상행,1번출구,지하,1,1번 출구 측,지상,1,1번 출구 측,1200,1809-225,2025-03-10
16,1호선,동묘앞(1),1,하행,내부,지하,2,신설동 방면9-1,지하,3,신설동 방면9-1,1200,1800-056,2025-03-10
17,1호선,동묘앞(1),2,상행,내부,지하,3,신설동 방면9-1,지하,2,신설동 방면9-1,1200,1800-055,2025-03-10
18,1호선,동묘앞(1),3,상행,내부,지하,2,신설동 방면6-2,지하,1,신설동 방면6-2,1200,1800-057,2025-03-10
19,1호선,동묘앞(1),4,상행,내부,지하,2,동대문 방면5-4,지하,1,동대문 방면5-4,1200,1800-060,2025-03-10
20,1호선,동묘앞(1),5,하행,내부,지하,1,동대문 방면2-4,지하,2,동대문 방면2-4,1200,1800-061,2025-03-10
21,1호선,동묘앞(1),6,상행,내부,지하,2,동대문 방면2-4,지하,1,동대문 방면2-4,1200,1800-062,2025-03-10
22,1호선,동묘앞(1),7,하행,1번출구 ,지상,1,1번 출구 측,지하,1,1번 출구 측,1200,1800-054,2025-03-10
23,1호선,동묘앞(1),8,상행,1번출구 ,지하,1,1번 출구 측,지상,1,1번 출구 측,1200,1800-053,2025-03-10
24,1호선,동묘앞(1),9,하행,2번출구 ,지상,1,2번 출구 측,지하,1,2번 출구 측,1200,1800-059,2025-03-10
25,1호선,동묘앞(1),10,상행,2번출구 ,지하,1,2번 출구 측,지상,1,2번 출구 측,1200,1800-058,2025-03-10
26,1호선,동묘앞(1),11,하행,3번출구 ,지상,1,3번 출구 측,지하,1,3번 출구 측,1200,1800-063,2025-03-10
27,1호선,동묘앞(1),12,상행,3번출구 ,지하,1,3번 출구 측,지상,1,3번 출구 측,1200,1800-064,2025-03-10
28,1호선,제기동,1,하행,2번출구 ,지상,1,2번 출구 측,지하,1,2번 출구 측,800,1809-138,2025-03-10
29,1호선,제기동,2,상행,2번출구 ,지하,1,2번 출구 측,지상,1,2번 출구 측,800,1809-139,2025-03-10
30,1호선,청량리(1),1,하행,6번출구 ,지상,1,6번 출구 측,지하,1,6번 출구 측,800,1809-136,2025-03-10
31,1호선,청량리(1),2,상행,6번출구 ,지하,1,6번 출구 측,지상,1,6번 출구 측,800,1809-137,2025-03-10
32,1호선,청량리(1),3,하행,2번출구 ,지상,1,2번 출구 측,지하,1,2번 출구 측,1200,1806-436,2025-03-10
33,1호선,청량리(1),4,상행,2번출구 ,지하,1,2번 출구 측,지상,1,2번 출구 측,1200,1806-435,2025-03-10
34,1호선,청량리(1),5,하행,5번출구,지상,1,5번 출구 측,지하,1,5번 출구 측,1200,1812-593,2025-03-10
35,1호선,청량리(1),6,상행,5번출구,지하,1,5번 출구 측,지상,1,5번 출구 측,1200,1812-592,2025-03-10
36,2호선,시청(2),3,하행,내부,지하,1,대합실(1호선 환승통로 방면),지하,2,대합실(1호선 환승통로 방면),1200,1808-578,2025-03-10
37,2호선,시청(2),4,상행,내부,지하,2,대합실(1호선 환승통로 방면),지하,1,대합실(1호선 환승통로 방면),1200,1808-577,2025-03-10
38,2호선,시청(2),5,하행,내부,지하,1,대합실(1호선 환승통로 방면),지하,2,대합실(1호선 환승통로 방면),1200,1808-576,2025-03-10
39,2호선,시청(2),6,상행,내부,지하,2,대합실(1호선 환승통로 방면),지하,1,대합실(1호선 환승통로 방면),1200,1808-575,2025-03-10
40,2호선,을지로입구,1,하행,8번출구 ,지상,1,8번 출구 측,지하,1,8번 출구 측,1200,1801-058,2025-03-10
41,2호선,을지로입구,2,상행,8번출구 ,지하,1,8번 출구 측,지상,1,8번 출구 측,1200,1801-059,2025-03-10
42,2호선,을지로입구,3,하행,1번출구,지상,1,1번 출구 측,지하,연결통로,1번 출구 측,1200,1800-931,2025-03-10
43,2호선,을지로입구,4,상행,1번출구,지하,연결통로,1번 출구 측,지상,1,1번 출구 측,1200,1800-930,2025-03-10
44,2호선,을지로입구,5,상행,1번출구,지하,1,1번 출구 측,지상,연결통로,1번 출구 측,1200,1800-933,2025-03-10
45,2호선,을지로입구,6,하행,1번출구,지하,연결통로,1번 출구 측,지하,1,1번 출구 측,1200,1800-932,2025-03-10
46,2호선,을지로4가(2),1,하행,5번출구 ,지상,1,5번 출구 측,지하,1,5번 출구 측,1200,1808-584,2025-03-10
47,2호선,을지로4가(2),2,상행,5번출구 ,지하,1,5번 출구 측,지상,1,5번 출구 측,1200,1808-583,2025-03-10
48,2호선,동대문역사문화공원(2),1,하행,3번출구 ,지상,1,3번 출구 측,지하,1,3번 출구 측,800,1800-722,2025-03-10
49,2호선,동대문역사문화공원(2),2,상행,3번출구 ,지하,1,3번 출구 측,지상,1,3번 출구 측,800,1800-723,2025-03-10
50,2호선,신당(2),1,하행,3번출구 ,지상,1,3번 출구 측,지하,1,3번 출구 측,1200,1801-299,2025-03-10
51,2호선,신당(2),2,상행,3번출구 ,지하,1,3번 출구 측,지상,1,3번 출구 측,1200,1801-244,2025-03-10
52,2호선,상왕십리,1,하행,1번출구,지상,1,1번 출구 측,지하,1,1번 출구 측,1200,1812-874,2025-03-10
53,2호선,상왕십리,2,상행,1번출구,지하,1,1번 출구 측,지상,1,1번 출구 측,1200,1812-873,2025-03-10
54,2호선,상왕십리,3,하행,1번출구,지하,1,1번 출구 측,지하,2,1번 출구 측,1200,1812-872,2025-03-10
55,2호선,상왕십리,4,상행,1번출구,지하,2,1번 출구 측,지하,1,1번 출구 측,1200,1812-871,2025-03-10
56,2호선,상왕십리,5,하행,1-1번출구,지상,1,1-1번 출구 측,지하,1,1-1번 출구 측,1200,1809-944,2025-03-10
57,2호선,상왕십리,6,상행,1-1번출구,지하,1,1-1번 출구 측,지상,1,1-1번 출구 측,1200,1809-943,2025-03-10
58,2호선,상왕십리,7,하행,1-1번출구,지하,1,1-1번 출구 측,지하,2,1-1번 출구 측,1200,1809-942,2025-03-10
59,2호선,상왕십리,8,상행,1-1번출구,지하,2,1-1번 출구 측,지하,1,1-1번 출구 측,1200,1809-941,2025-03-10
