연번,호선,외부역번호,역명,설치위치
1,1,133,서울역 (1),4호선 환승통로입구
2,1,133,서울역 (1),서울역쪽 개표소
3,1,133,서울역 (1),서울역쪽 발매기 앞
4,1,133,서울역 (1),역무실 앞 발매기 앞기둥
5,1,133,서울역 (1),역무실 앞 중간개표소(내부)
6,1,133,서울역 (1),2번 출구 (내부)
7,1,133,서울역 (1),2번 입구 (외부)
8,1,133,서울역 (1),E/V 앞 2번 출구 하단
9,1,133,서울역 (1),E/V 앞 2번 출구 상단
10,1,133,서울역 (1),대합실에서 승강장가는 E/V 앞기둥
11,1,133,서울역 (1),화장실 앞
12,1,133,서울역 (1),북측 개표소 (내부)
13,1,133,서울역 (1),기동검수옆 MOC 단자함 위
14,1,133,서울역 (1),3번 출구 (내부)
15,1,133,서울역 (1),3번 입구 (외부)
16,1,133,서울역 (1),4번출구 E/V 옆
17,1,133,서울역 (1),5번 입구 (외부)
18,1,133,서울역 (1),"4, 5번 출입구 중간 E/V 앞"
19,1,133,서울역 (1),승강장 하선 1-2 앞
20,1,133,서울역 (1),승강장 상선 7-3 앞
21,1,133,서울역 (1),승강장 E/V 앞
22,1,133,서울역 (1),승강장 하선 8-2 앞
23,1,133,서울역 (1),승강장 상선 1-1 앞
24,1,133,서울역 (1),3번 출입구 뒤 E/V 앞
25,1,133,서울역 (1),2호 3호 E/S 하단
26,1,133,서울역 (1),2호 3호 E/S 상단
27,1,133,서울역 (1),대합실 4호선 통로
28,1,133,서울역 (1),A계단 상단
29,1,133,서울역 (1),C계단 상단
30,1,133,서울역 (1),D계단 상단
31,1,133,서울역 (1),5번 출구
32,1,133,서울역 (1),4번 출입구 E/C앞 (하단)
33,1,133,서울역 (1),4번 출입구 E/S(상단) LED전광판BOX 안
34,1,132,시청 (1),1번 출구 외부 box 안
35,1,132,시청 (1),1번 출구 내부
36,1,132,시청 (1),6번 출구 가는 측
37,1,132,시청 (1),7번 출구 계단
38,1,132,시청 (1),6번 출구 내부
39,1,132,시청 (1),6번 출구 외부
40,1,132,시청 (1),을지로 지하상가 측
41,1,132,시청 (1),대합실 1호 E/V 앞 내부
42,1,132,시청 (1),역무실 앞
43,1,132,시청 (1),1호 E/V 앞 외부
44,1,132,시청 (1),"A, B계단 중간 기둥"
45,1,132,시청 (1),"G, H계단 중간 기둥"
46,1,132,시청 (1),2번 출구 계단
47,1,132,시청 (1),3번 출구 계단
48,1,132,시청 (1),"2, 3번 출구 내부"
49,1,132,시청 (1),"C, C계단 중간 기둥"
50,1,132,시청 (1),"E, F계단 중간 기둥"
51,1,132,시청 (1),화장실 앞
52,1,132,시청 (1),5번 출구 계단
53,1,132,시청 (1),승강장 상선 10-2
54,1,132,시청 (1),승강장 하선 2-1
55,1,132,시청 (1),승강장 상선 7-4
56,1,132,시청 (1),승강장 하선 4-1
57,1,132,시청 (1),승강장 상선 6-1
