연번,호선,역명,관리번호(호기),(근접) 출입구번호,시작층(지상_지하),시작층(운행역층),시작층(상세위치),종료층(지상_지하),종료층(운행역층),종료층(상세위치),길이,폭,한계중량,승강기 일련번호,데이터 기준일자
1,1호선,신설동(1),내부#1,내부,지하,2,제기동 방면,지하,1,제기동 방면,,820,300,1903-415,2025-03-10
2,1호선,신설동(1),내부#2,내부,지하,2,동묘앞 방면,지하,1,동묘앞 방면,,820,300,1903-417,2025-03-10
3,1호선,신설동(1),내부#3,내부,지하,1,연결통로(대합실),지하,1,연결통로(대합실),3.762,800,300,1903-416,2025-03-10
4,1호선,신설동(1),내부#4,내부,지하,1,연결통로(대합실),지하,1,연결통로(대합실),3.651,800,300,1903-414,2025-03-10
5,2호선,신설동(2),내부#1,내부,지하,2,신설동 방면1-1,지하,1,신설동 방면1-1,3.652,820,300,1903-461,2025-03-10
6,2호선,신설동(2),내부#2,내부,지하,2,용두 방면1-1,지하,1,용두 방면1-1,6.246,820,300,1903-462,2025-03-10
7,2호선,신설동(2),내부#3,내부,지하,2,용두 방면4-4,지하,1,용두 방면4-4,11.568,800,300,1903-418,2025-03-10
8,2호선,신설동(2),내부#4,내부,지하,1,"환승통로(1,2호선)",지하,1,"환승통로(1,2호선)",12.16,820,300,1903-463,2025-03-10
9,2호선,신설동(2),내부#5,내부,지하,1,"환승통로(1,2호선)",지하,1,"환승통로(1,2호선)",11.734,820,300,1903-464,2025-03-10
10,2호선,잠실(2),내부#1,내부,지하,1,잠실쇼핑센터 측 연결계단,지하,1,잠실쇼핑센터 측 연결계단,,800,300,1901-593,2025-03-10
11,2호선,삼성,내부#1,내부,지하,1, 코액스 측 연결계단,지하,1, 코액스 측 연결계단,4.37,800,300,1901-463,2025-03-10
12,2호선,신정네거리,내부#1,내부,지하,2,"2,3번 출구 측",지하,1,"2,3번 출구 측",11.188,800,300,1902-885,2025-03-10
13,3호선,교대(3),내부#1,내부,지하,1,"B1층 2,3호선 연결 계단",지하,1,"B1층 2,3호선 연결 계단",5.222,800,300,1900-627,2025-03-10
14,4호선,사당(4),내부#1,내부,지하,1,"연결통로(2,4호선, 대합실)",지하,M,"연결통로(2,4호선, 대합실)",5.53,800,300,1903-972,2025-03-10
15,5호선,까치산,1,내부,지하,5,화곡 방면1-2,지하,4,화곡 방면1-2,14,800,300,1901-411,2025-03-10
16,5호선,까치산,2,내부,지하,5,2번 출구 측,지하,4,2번 출구 측,14,800,300,1901-412,2025-03-10
